[2024-10-19 18:00:31,772: INFO: main: Welcome to our custom log]
[2024-10-20 21:41:05,681: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-20 21:41:05,686: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-20 21:41:05,687: INFO: common: created directory at: artifacts]
[2024-10-20 21:41:05,694: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-20 21:43:10,792: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-20 21:43:10,797: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-20 21:43:10,798: INFO: common: created directory at: artifacts]
[2024-10-20 21:43:10,800: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-20 21:43:31,054: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-20 21:43:31,059: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-20 21:43:31,060: INFO: common: created directory at: artifacts]
[2024-10-20 21:43:31,061: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-20 21:47:55,663: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-20 21:47:55,665: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-20 21:47:55,668: INFO: common: created directory at: artifacts]
[2024-10-20 21:47:55,669: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-20 21:49:09,566: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-20 21:49:09,568: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-20 21:49:09,570: INFO: common: created directory at: artifacts]
[2024-10-20 21:49:09,572: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-20 21:49:09,575: INFO: 1834817127: Downloading data from https://drive.google.com/file/d/1OHXS5CP_-cbjsEGocjHyLbGwEQMgrTJj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-20 21:50:13,248: INFO: 1834817127: Downloaded data from https://drive.google.com/file/d/1OHXS5CP_-cbjsEGocjHyLbGwEQMgrTJj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-20 22:10:22,347: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-10-20 22:10:22,349: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-20 22:10:22,349: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-20 22:10:22,350: INFO: common: created directory at: artifacts]
[2024-10-20 22:10:22,350: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-20 22:10:22,351: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1OHXS5CP_-cbjsEGocjHyLbGwEQMgrTJj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-20 22:12:00,666: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1OHXS5CP_-cbjsEGocjHyLbGwEQMgrTJj/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-20 22:12:01,357: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
